ID,NAME,SHIRT NAME,CALL NAME,AGE,INJURY TOLERANCE,DRIBBLE STYLE,FK STYLE,PK STYLE,DK STYLE,GOAL CELEBRATION 1,GOAL CELEBRATION 2,GROWTH TYPE,SPECIFIC GROWTH TYPE,CONSISTENCY,STRONG FOOT,FAVOURED SIDE,REGISTERED POSITION,GK,SW,CB,SB,DM,WB,CM,SM,AM,WF,SS,CF,NATIONALITY,INTERNATIONAL NUMBER,CLASSIC NUMBER,CLUB TEAM,CLUB NUMBER,FACE TYPE,SKIN COLOR,HEAD HEIGHT,HEAD WIDTH,HEAD POSITION,PRESET FACE NUMBER,BROWS TYPE,BROWS ANGLE,BROWS HEIGHT,EYEBROW SPACING,EYES TYPE,EYES POSITION,EYES ANGLE,EYES LENGTH,EYES WIDTH,EYE COLOR 1,EYE COLOR 2,NOSE TYPE,NOSE HEIGHT,NOSE WIDTH,CHEEK TYPE,CHEEK SHAPE,MOUTH TYPE,MOUTH SIZE,MOUTH POSITION,JAW TYPE,CHIN HEIGHT,CHIN WIDTH,HAIR TYPE,HAIR SHAPE,HAIR FRONT,HAIR VOLUME,HAIR DARKNESS,HAIR COLOR TYPE,HAIR COLOR PATTERN,HAIR COLOR RGB-R,HAIR COLOR RGB-G,HAIR COLOR RGB-B,BANDANA TYPE,BANDANA COLOR,CAP,CAP TYPE,FACIAL HAIR TYPE,FACIAL HAIR COLOR,GLASSES TYPE,GLASSES COLOR,HEIGHT,WEIGHT,NECK LENGTH,NECK WIDTH,SHOULDER HEIGHT,SHOULDER WIDTH,CHEST MEASUREMENT,WAIST CIRCUMFERENCE,ARM CIRCUMFERENCE,LEG CIRCUMFERENCE,CALF CIRCUMFERENCE,LEG LENGTH,NECK WARMER,NECKLACE TYPE,NECKLACE COLOR,WRISTBAND,WRISTBAND COLOR,BRACELET TYPE,BRACELET COLOR,GLOVES,FINGER BAND TYPE,SHIRT TYPE,SLEEVE LENGTH,UNDER SHORTS,UNDER SHORTS COLOR,SOCKS TYPE,ANKLE TAPE,ATTACK,DEFENSE,BALANCE,STAMINA,TOP SPEED,ACCELERATION,RESPONSE,AGILITY,DRIBBLE ACCURACY,DRIBBLE SPEED,SHORT PASS ACCURACY,SHORT PASS SPEED,LONG PASS ACCURACY,LONG PASS SPEED,SHOT ACCURACY,SHOT POWER,SHOT TECHNIQUE,FREE KICK ACCURACY,SWERVE,HEADING,JUMP,TECHNIQUE,AGGRESSION,MENTALITY,GOALKEEPING,TEAMWORK,CONDITION,WEAK FOOT ACCURACY,WEAK FOOT FREQUENCY,DRIBBLING,TACTICAL DRIBBLE,POSITIONING,REACTION,PLAYMAKING,PASSING,SCORING,1-1 SCORING,POST PLAYER,LINES,MIDDLE SHOOTING,SIDE,CENTRE,PENALTIES,1-TOUCH PASS,OUTSIDE,MARKING,SLIDING,COVERING,D-LINE CONTROL,PENALTY STOPPER,1-ON-1 STOPPER,LONG THROW
890,A. Touré,A.   T O U R E,52685,18,A,1,1,1,1,N,N,Standard,63,3,R,R,SB,0,0,0,1,0,0,0,0,0,0,0,0,Togo,23,0,,0,Build,4,0,-4,0,1,26,2,0,3,7,-1,-3,-1,1,3,Black 1,3,-3,2,1,3,3,2,-2,2,-2,1,Very Short 2,5,5,NA,NA,Pattern,11,63,63,63,NA,White,N,1,N,Same,N,1,179,76,2,0,1,1,1,0,0,0,-2,4,N,N,White,N,None,None,White,N,N,Standard,Auto,N,Same,Standard,N,62,58,70,80,83,77,63,79,78,75,66,66,64,66,55,73,62,55,63,60,76,77,69,60,50,55,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
891,Atsou,A  T  S  O  U,52685,28,A,1,1,1,1,N,N,Standard,58,3,R,R,DM,0,0,0,0,1,0,0,0,0,0,0,0,Togo,21,0,,0,Build,4,1,6,0,1,13,-2,1,2,21,3,0,-2,-3,3,Black 1,1,-3,3,3,3,12,2,-1,4,0,2,Buzz Cut,1,2,NA,2,Pattern,9,63,63,63,NA,White,N,1,56,Same,N,1,188,84,2,0,1,1,1,0,0,0,-2,4,N,N,White,N,None,None,White,N,N,Standard,Auto,N,Same,Standard,N,60,66,82,81,75,72,71,73,72,68,70,66,71,73,57,77,63,63,59,70,72,74,62,67,50,65,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
892,Aziawonou,L I S A    J R,52685,26,A,1,1,1,1,62,48,Late,86,4,L,L,DM,0,0,0,0,1,0,0,1,0,0,0,0,Togo,6,0,Manchester City,99,Preset,4,-5,0,0,26,12,-2,-1,0,19,1,0,0,0,1,Black 2,4,0,0,5,0,12,-1,0,2,-1,-1,Dreadlocks,1,4,1,NA,Pattern,59,63,63,63,NA,White,N,1,N,8,N,1,182,84,2,0,1,1,1,0,0,0,-2,4,N,1,White,N,None,None,White,N,N,Untucked,Auto,Y,Same,Standard,N,73,63,84,85,74,72,81,74,81,82,78,76,75,77,70,85,75,73,75,70,80,82,65,70,50,75,4,6,6,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
893,Agboh,A  G  B  O  H,52685,28,B,1,1,1,1,N,N,Early,-107,3,R,B,DM,0,0,0,0,1,0,0,0,0,0,0,0,Togo,8,0,,0,Build,4,-3,3,0,1,8,1,-3,3,4,3,-3,0,-1,3,Black 2,5,-3,2,3,3,8,2,-2,2,0,0,Bald,1,NA,NA,NA,Pattern,8,63,63,63,NA,Black,N,1,108,Same,N,1,177,72,0,0,0,0,0,0,0,0,0,0,N,N,White,N,None,None,White,N,N,Standard,Auto,N,Same,Standard,N,57,68,80,79,74,71,69,68,67,65,65,64,66,64,55,75,53,53,50,71,77,66,60,65,50,60,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
894,Dossevi,D O S S E V I,65535,27,A,1,1,1,1,N,N,Standard,65,4,R,R,SM,0,0,0,0,0,0,0,1,0,0,0,0,Togo,9,0,,0,Build,3,1,3,0,1,11,-3,-2,3,13,2,0,0,-3,1,Brown 2,1,0,2,1,0,1,0,0,8,-1,2,Buzz Cut,4,1,NA,4,Pattern,10,63,63,63,NA,White,N,1,75,Same,N,1,183,81,2,0,1,1,1,0,0,0,-2,4,N,N,White,N,None,None,White,N,N,Standard,Auto,N,Same,Standard,N,73,42,73,78,80,81,70,80,79,77,70,68,70,70,68,76,71,60,63,68,75,74,74,68,50,63,4,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
895,Erassa,E R A S S A,52685,23,A,1,1,1,1,N,N,Standard,80,4,R,B,AM,0,0,0,0,0,0,1,0,1,0,0,0,Togo,20,0,,0,Build,4,-6,7,0,1,32,2,0,-3,10,1,2,1,-1,3,Black 1,5,3,2,4,3,12,0,0,8,0,3,Curly 2,1,6,2,NA,Pattern,8,63,63,63,NA,White,N,1,N,Same,N,1,190,75,2,0,1,1,1,0,0,0,-2,4,N,N,White,N,None,None,White,N,N,Standard,Auto,N,Same,Standard,N,62,66,81,78,72,70,70,66,65,72,67,66,68,74,57,82,60,57,63,76,73,66,60,66,50,66,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
896,Olufadé,O L U F A D E,52685,26,A,1,1,1,1,N,N,Standard,58,4,R,B,WF,0,0,0,0,0,0,0,0,0,1,0,1,Togo,14,0,,0,Build,4,-5,0,0,1,19,-2,0,0,16,1,0,0,0,2,Black 2,3,0,0,3,0,11,0,0,4,1,0,Dreadlocks,1,2,1,NA,Pattern,8,63,63,63,NA,White,N,1,N,Same,N,1,170,75,2,0,1,1,1,0,0,0,-2,4,N,N,White,N,None,None,White,N,N,Standard,Auto,N,Same,Standard,N,74,29,74,80,84,82,77,83,75,80,67,66,59,68,73,80,80,62,56,72,82,76,83,68,50,63,4,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
897,Malm,M   A   L   M,52685,33,A,1,1,1,1,N,N,Standard,60,4,R,B,CF,0,0,0,0,0,0,0,0,0,0,0,1,Togo,11,0,,0,Build,4,-3,-4,0,1,1,-3,3,-3,9,-2,-1,1,-2,3,Black 2,2,-1,0,2,1,3,0,0,1,0,-1,Buzz Cut,3,4,NA,3,Pattern,8,63,63,63,NA,White,N,1,N,Same,N,1,180,73,2,0,1,1,1,0,0,0,-2,4,N,N,White,N,None,None,White,N,N,Standard,Auto,N,Same,Standard,N,74,35,80,73,83,81,74,77,75,81,65,67,60,65,73,78,75,60,57,73,73,74,80,72,50,66,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
898,Boumnijel,BOUMNIJEL,52685,40,A,1,1,1,1,N,N,Late,-93,4,R,B,GK,1,0,0,0,0,0,0,0,0,0,0,0,Tunisia,1,0,,0,Build,3,2,-4,0,1,22,0,-3,0,15,0,0,0,0,2,Black 2,5,0,2,5,0,1,1,0,2,0,-1,Curly 2,1,1,1,NA,Pattern,9,63,63,63,NA,White,N,1,56,9,N,1,187,83,0,0,0,0,0,0,0,0,0,0,N,N,White,N,None,None,White,N,N,Standard,Auto,N,Same,Standard,Y,30,78,78,59,66,66,85,67,43,47,40,55,44,60,36,72,38,38,36,40,81,38,65,72,75,65,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899,Jaïdi,J  A  I  D  I,52685,31,A,1,1,1,1,N,N,Standard,52,5,R,B,CB,0,0,1,0,0,0,0,0,0,0,0,0,Tunisia,15,0,,0,Build,4,-3,-3,0,1,25,0,-2,0,22,0,-3,0,0,3,Black 1,6,-2,0,3,0,10,0,-2,1,-3,2,Buzz Cut,1,2,NA,1,Pattern,9,63,63,63,NA,Black,N,1,85,8,N,1,193,89,2,0,1,1,1,0,0,0,-2,4,N,N,White,N,None,None,White,N,N,Standard,Auto,N,Same,Standard,N,55,78,89,76,68,64,72,67,65,60,65,71,74,76,55,80,53,57,58,86,76,69,53,66,50,66,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
900,Haggui,H A G G U I,52685,22,A,1,1,1,1,N,N,Standard,74,4,R,R,CB,0,0,1,1,0,0,0,0,0,0,0,0,Tunisia,3,0,,0,Build,2,7,7,0,1,17,-2,-3,0,29,-1,-1,-2,-2,1,Black 2,4,2,0,2,0,2,2,-1,1,-2,-1,Curly 2,3,5,2,NA,Pattern,9,63,63,63,NA,White,N,1,N,Same,N,1,190,83,-2,0,0,0,0,0,0,0,0,0,N,N,White,L,White,None,White,Y,N,Standard,Auto,N,Same,Standard,Y,60,82,78,82,75,74,70,72,70,74,67,67,69,72,57,78,57,54,67,70,75,72,67,66,50,71,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
901,Trabelsi,T  R  A  B  E,65535,29,B,2,1,1,1,N,N,Standard,56,6,R,R,SB,0,0,0,1,0,1,0,0,0,0,0,0,Tunisia,6,0,Manchester United,2,Build,4,0,7,0,1,15,0,0,0,18,-1,-2,-1,-1,1,Black 2,6,-1,-1,3,0,3,-1,-2,1,0,-3,Buzz Cut,1,1,NA,1,Pattern,9,63,63,63,NA,Black,N,1,N,Same,N,1,179,81,5,0,1,1,1,0,0,0,-2,4,N,N,White,N,None,None,White,N,1,Untucked,Auto,N,Same,Standard,Y,74,68,82,90,85,83,78,82,80,86,75,79,82,84,64,82,69,62,70,67,80,76,82,68,50,80,6,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
902,Jemmali,J E M M A L I,65535,31,A,1,1,1,1,N,N,Standard/Lasting,13,5,R,B,SB,0,0,0,1,0,0,0,0,0,0,0,0,Tunisia,18,0,Tottenham Hotspur FC,29,Build,1,-4,-3,0,1,21,2,-3,0,5,-1,-3,0,0,1,Brown 2,6,0,-1,1,0,10,0,0,1,-2,-2,Very Short 2,2,1,NA,NA,Pattern,10,63,63,63,NA,White,N,1,96,8,N,1,187,82,0,0,1,1,0,0,0,-1,-2,2,N,N,White,N,None,None,White,N,N,Standard,Auto,N,Same,Standard,N,64,69,83,80,75,70,73,70,74,72,65,73,71,71,57,74,63,54,61,71,66,69,66,67,50,71,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
903,Mnari,M  N  A  R  I,52685,29,A,1,1,1,1,N,N,Standard,52,5,R,B,DM,0,1,0,0,1,0,1,1,0,0,0,0,Tunisia,12,0,,0,Build,1,-2,-2,0,1,6,0,-3,0,21,0,-3,-2,-2,1,Black 2,8,-2,0,4,0,10,2,-1,2,-1,2,Very Short 1,1,1,NA,NA,Pattern,9,63,63,63,NA,White,N,1,116,7,N,1,184,82,0,0,0,0,0,0,0,0,0,0,N,N,White,N,None,None,White,N,N,Standard,Auto,N,Same,Standard,N,66,67,81,76,70,70,73,66,75,65,80,76,78,74,63,80,66,60,63,73,76,76,62,72,50,75,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
904,Bouazizi,B O U A Z I Z I,52685,33,A,1,1,1,1,N,N,Late,66,5,R,B,DM,0,0,0,0,1,0,1,0,0,0,0,0,Tunisia,13,0,,0,Build,3,-2,-2,0,1,25,0,-3,0,30,0,-2,0,-2,2,Black 1,2,0,2,2,0,2,0,0,2,-1,0,Curly 1,3,6,1,NA,Pattern,9,63,63,63,NA,Black,N,1,N,Same,N,1,177,76,2,0,1,1,1,0,0,0,-2,4,N,N,White,N,None,None,White,N,N,Standard,Auto,N,Same,Standard,Y,66,68,75,91,76,79,78,78,75,70,76,72,83,74,63,78,65,59,62,76,80,78,65,80,50,76,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
905,Chedli,C H E D L I,52685,30,A,2,1,1,1,N,N,Early/Lasting,107,5,R,L,AM,0,0,0,0,1,0,0,1,1,0,0,0,Tunisia,14,0,,0,Build,1,-1,-1,0,1,22,-2,-3,0,19,0,0,-1,-1,1,Black 2,3,-1,1,5,0,10,3,-1,1,-3,1,Very Short 2,1,3,NA,NA,Pattern,9,63,63,63,NA,White,N,1,96,7,N,1,177,72,0,0,0,0,0,0,0,0,0,0,N,N,White,N,None,None,White,N,N,Standard,Auto,N,Same,Standard,N,73,60,73,85,75,74,70,74,76,70,77,70,78,74,67,74,70,73,79,68,75,77,66,70,50,65,4,7,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
906,Namouchi,N A M O U C H I,65535,22,A,1,1,1,1,N,N,Standard,72,5,R,B,CM,0,0,0,0,0,0,1,1,1,0,0,0,Tunisia,20,0,,0,Build,1,-2,-3,0,1,6,-2,-3,0,2,-2,-3,-2,2,1,Black 2,6,-1,0,1,0,4,2,0,1,-3,-1,Straight 1,3,9,1,NA,Pattern,9,63,63,63,N,White,N,1,N,Same,N,1,183,74,0,0,0,0,0,0,0,0,0,0,N,N,White,N,None,None,White,N,N,Standard,Auto,N,Same,Standard,N,71,57,78,81,81,77,73,78,80,77,74,68,70,70,70,78,65,60,67,70,79,81,72,67,50,65,4,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
907,Jaziri,J A Z I R I,65535,28,A,1,1,1,1,N,N,Standard,87,4,R,R,CF,0,0,0,0,0,0,0,1,0,0,0,1,Tunisia,5,0,Willem II,32,Build,3,7,7,0,1,26,0,-3,0,26,0,0,0,0,1,Black 2,5,0,0,1,1,1,1,0,1,0,0,Very Short 2,2,1,NA,NA,Pattern,9,63,63,63,NA,Black,N,1,N,Same,N,1,171,70,2,0,1,1,1,0,0,0,-2,4,N,N,White,N,None,None,White,N,N,Standard,Auto,N,Same,Standard,N,75,38,81,86,82,88,77,88,80,84,68,69,71,70,74,75,73,60,54,67,75,78,83,74,50,65,4,5,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
908,Chikhaoui,CHIKHAOUI,52685,20,A,1,1,1,1,N,N,Standard,3,4,R,B,CF,0,0,0,0,0,0,0,0,0,0,0,1,Tunisia,9,0,,0,Build,3,-3,-3,0,1,18,-2,0,2,12,0,3,-1,-1,2,Black 2,6,3,2,2,-1,6,1,0,3,1,0,Curly 2,1,1,2,NA,Pattern,9,63,63,63,NA,Black,N,1,N,Same,N,1,187,80,0,0,1,1,0,0,0,-1,-2,2,N,N,White,N,None,None,White,N,N,Standard,Auto,N,Same,Standard,N,68,33,68,72,83,78,72,77,72,77,72,63,67,66,68,77,76,66,65,77,78,77,79,65,50,57,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
909,Nefzi,N E F Z I,52685,32,A,1,1,1,1,N,N,Standard,3,4,R,B,GK,1,0,0,0,0,0,0,0,0,0,0,0,Tunisia,16,0,,0,Build,1,1,-2,0,1,11,0,-1,2,21,-1,-1,0,-2,1,Black 2,6,0,0,5,0,15,0,0,7,-1,0,Curly 2,1,4,2,NA,Pattern,11,63,63,63,NA,White,N,1,16,Same,N,1,183,86,2,0,1,1,1,0,0,0,-2,4,N,N,White,N,None,None,White,N,N,Standard,Auto,N,Same,Standard,N,30,73,80,61,65,66,82,64,56,53,55,52,55,67,45,78,45,42,42,43,72,47,60,67,74,60,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
910,Kasraoui,KASRAOUI,52685,23,A,1,1,1,1,N,N,Late,66,4,R,B,GK,1,0,0,0,0,0,0,0,0,0,0,0,Tunisia,22,0,,0,Build,1,2,0,0,1,27,-2,-3,0,19,0,-1,-2,-2,1,Blue 1,5,-2,0,3,0,1,-1,-2,1,-3,1,Very Short 1,1,5,NA,NA,Pattern,9,63,63,63,NA,White,N,1,N,Same,N,1,192,87,0,0,0,0,0,0,0,0,0,0,N,N,White,N,None,None,White,N,N,Standard,Auto,N,Same,Standard,N,30,77,86,61,65,67,83,64,48,46,47,46,52,64,38,82,43,43,46,45,74,48,58,67,78,64,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
911,Saidi,S  A  I  D  I,52685,23,A,1,1,1,1,N,N,Standard,3,5,R,B,CB,0,0,1,0,0,0,0,0,0,0,0,0,Tunisia,21,0,,0,Build,1,-7,2,0,1,22,-2,-3,0,21,0,0,-3,-3,1,Black 2,8,-2,-2,1,0,9,0,-2,2,-3,2,Buzz Cut,1,1,NA,2,Pattern,9,63,63,63,NA,White,N,1,88,7,N,1,184,76,0,0,0,0,0,0,0,0,0,0,N,N,White,N,None,None,White,Y,N,Standard,Auto,Y,Same,Standard,Y,57,75,82,78,81,75,68,76,70,75,63,66,68,66,60,80,62,57,55,74,80,67,69,64,50,63,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
912,Yahia,Y  A  H  I  A,9512,25,A,1,1,1,1,N,N,Early/Lasting,88,5,R,R,SB,0,0,1,1,1,0,0,0,0,0,0,0,Tunisia,4,0,,0,Build,3,0,0,0,1,2,0,-2,0,10,-1,0,-3,-3,1,Black 2,2,0,-3,1,0,5,1,-2,1,-3,-3,Buzz Cut,3,1,NA,3,Pattern,10,63,63,63,NA,White,N,1,N,Same,N,1,186,81,0,0,0,0,0,0,0,0,0,0,N,N,White,N,None,None,White,N,N,Standard,Auto,N,Same,Standard,Y,67,63,78,80,75,74,72,72,70,66,76,70,74,71,66,77,66,65,64,70,74,77,74,75,50,60,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
913,Ayari,A Y A R I,65535,24,A,1,1,1,1,N,N,Standard/Lasting,48,4,L,L,SB,0,0,0,1,0,0,0,0,0,0,0,0,Tunisia,19,0,,0,Build,2,-7,-7,0,1,16,-2,-2,0,15,1,-3,-3,-3,1,Black 2,2,0,0,3,0,3,2,-2,1,-1,1,Very Short 2,1,1,NA,NA,Pattern,8,63,63,63,NA,White,N,1,N,Same,N,1,179,75,0,0,0,0,0,0,0,0,0,0,N,N,White,N,None,None,White,N,N,Standard,Auto,N,Same,Standard,N,69,71,66,81,78,75,73,70,74,76,70,73,79,72,64,76,63,65,55,65,74,66,66,66,50,73,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
914,Nafti,N  A  F  T  I,52685,27,A,1,1,1,1,N,N,Standard,52,5,R,B,DM,0,0,0,0,1,0,1,0,0,0,0,0,Tunisia,8,0,,0,Build,3,-3,-4,0,1,25,0,-2,0,30,-1,-1,-1,-1,1,Black 2,2,-2,0,5,0,5,0,-3,2,-2,-3,Buzz Cut,4,1,NA,4,Pattern,10,63,63,63,NA,White,N,1,N,Same,N,1,178,75,2,0,1,1,1,0,0,0,-2,4,N,N,White,N,None,None,White,N,N,Standard,Auto,N,Same,Standard,N,69,73,79,88,69,73,82,75,68,70,76,76,77,74,63,82,65,56,66,70,79,76,56,72,50,75,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
915,Ghodhbane,GHODHBANE,52685,30,A,1,2,1,1,N,N,Standard/Lasting,48,6,R,L,DM,0,0,0,0,1,0,0,1,1,0,0,0,Tunisia,10,0,,0,Build,3,-1,-2,0,1,20,-2,-3,0,16,0,-3,0,0,1,Black 2,8,-2,0,3,0,9,-3,-3,2,0,3,Very Short 2,1,1,NA,NA,Pattern,9,63,63,63,NA,Black,N,1,94,8,N,1,184,81,2,0,1,1,1,0,0,0,-2,4,N,N,White,N,None,None,White,N,N,Standard,Auto,N,Same,Standard,N,73,62,79,84,73,67,72,69,75,70,80,77,77,78,74,84,72,76,80,78,77,80,62,74,50,73,5,6,6,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
916,Melliti,M E L L I T I,52685,28,A,1,1,1,1,N,N,Standard,3,5,L,L,SM,0,0,0,0,0,0,0,1,0,0,0,0,Tunisia,23,0,,0,Build,1,2,-4,0,1,6,-3,1,-3,14,-1,1,0,0,1,Black 2,1,0,2,3,2,14,-1,0,5,1,3,Curly 1,1,5,1,NA,Pattern,10,63,63,63,N,White,N,1,85,Same,N,1,178,80,2,0,1,1,1,0,0,0,-2,4,N,N,White,N,None,None,White,N,N,Standard,Auto,N,Same,Standard,N,68,51,72,79,78,76,72,73,76,73,71,68,72,69,61,74,62,65,65,65,73,72,69,66,50,60,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917,Ben Saada,BEN  SAADA,52685,22,A,2,1,1,1,N,N,Standard,-13,4,L,L,SS,0,0,0,0,0,0,0,0,0,1,1,1,Tunisia,17,0,,0,Build,1,-1,-2,0,1,13,-2,-3,0,11,0,-3,-3,-3,1,Brown 2,2,2,-1,1,0,1,0,0,2,0,-2,Very Short 2,2,7,NA,NA,Pattern,10,63,63,63,NA,White,N,1,N,Same,N,1,170,65,0,0,0,0,0,0,0,0,0,0,N,N,White,N,None,None,White,Y,N,Standard,Auto,N,Same,Standard,Y,75,40,68,78,85,80,80,85,85,77,70,71,74,72,70,77,78,62,65,59,77,83,75,70,50,69,4,5,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
918,Essediri,ESSEDIRI,65535,27,A,1,1,1,1,N,N,Standard,60,4,R,R,WF,0,0,0,0,0,0,0,1,0,1,0,0,Tunisia,2,0,R.C. Recreativo de Huelva,8,Build,1,-3,-3,0,1,22,0,0,0,20,0,0,0,0,1,Black 2,4,0,0,1,0,1,-1,0,7,0,0,Very Short 1,2,5,NA,NA,Pattern,10,63,63,63,NA,White,N,1,N,Same,N,1,185,83,0,0,0,0,0,0,0,0,0,0,N,N,White,N,None,None,White,Y,N,Standard,Auto,N,Same,Standard,N,73,53,77,80,83,82,73,80,73,73,69,68,68,72,67,80,68,60,55,70,72,73,85,69,50,70,4,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
919,Guemandia,GUEMANDIA,52685,24,A,1,1,1,1,N,N,Standard,76,4,R,B,CF,0,0,0,0,0,0,0,0,0,0,0,1,Tunisia,7,0,,0,Build,3,-1,2,0,1,26,-3,2,2,1,0,0,0,2,1,Black 1,2,1,0,1,2,9,0,0,2,0,1,Very Short 1,4,2,NA,NA,Pattern,9,63,63,63,NA,White,N,1,N,Same,N,1,182,71,0,0,0,0,0,0,0,0,0,0,N,N,White,N,None,None,White,N,N,Standard,Auto,N,Same,Standard,N,76,33,72,80,83,80,80,80,76,79,70,68,66,67,80,81,80,63,62,70,77,78,81,66,50,67,4,6,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
920,Dos Santos,DOS   SANTOS,65535,27,A,3,1,1,1,N,N,Standard,4,6,R,B,CF,0,0,0,0,0,0,0,0,0,0,0,1,Tunisia,11,0,Olympique Lyonnais,12,Preset,2,0,0,0,4,7,0,-3,0,17,0,0,-3,-3,1,Black 2,2,0,-1,3,0,1,1,-1,2,-3,1,Very Short 2,1,8,NA,NA,Pattern,8,63,63,63,NA,White,N,1,N,Same,N,1,172,68,0,0,0,0,0,0,0,0,0,0,Y,N,White,N,None,None,White,Y,N,Untucked,Auto,N,Same,Long,Y,84,35,78,80,86,86,84,88,81,80,74,71,68,71,83,83,83,70,70,78,83,82,84,70,50,78,6,5,5,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
921,Porras,P O R R A S,52685,35,A,1,1,1,3,N,N,Late/Lasting,-59,4,R,B,GK,1,0,0,0,0,0,0,0,0,0,0,0,Costa Rica,18,0,,0,Build,2,0,0,0,1,19,2,0,0,28,0,0,0,0,1,Black 2,5,0,0,1,0,6,0,0,1,0,0,Very Short 2,1,1,NA,NA,Pattern,8,63,63,63,NA,White,N,1,N,Same,N,1,184,81,0,0,0,0,0,0,0,0,0,0,N,N,White,N,None,None,White,N,N,Standard,Long,N,Same,Standard,N,35,80,84,53,63,62,86,64,40,39,44,45,60,62,36,78,36,37,37,42,80,43,53,74,78,69,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
922,Umaña,U M A N A,52685,24,A,1,1,1,1,N,N,Standard,60,4,R,R,CB,0,0,1,0,0,0,0,0,0,0,0,0,Costa Rica,4,0,,0,Build,3,-4,-1,0,1,20,-1,-2,0,13,0,0,0,0,1,Black 2,7,0,0,1,0,7,0,0,4,1,0,Very Short 1,1,4,NA,NA,Pattern,10,63,63,63,NA,White,N,1,N,Same,N,1,178,73,0,0,0,0,0,0,0,0,0,0,N,N,White,N,None,None,White,N,N,Standard,Auto,N,Same,Standard,N,55,73,77,79,76,75,73,74,68,68,63,63,69,69,56,76,59,54,50,72,78,70,55,68,50,69,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
